"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Paddy","Vaduvur  Tamil Nadu","B P T","0.01 Tonnes","1450.00","1350.00 / 1650.00"
"Potato","Viswan  Uttar Pradesh","Desi","3 Tonnes","610.00","560.00 / 700.00"
"Tomato","Pali  Rajasthan","Other","15.47 Tonnes","900.00","800.00 / 1000.00"
"Papaya","Barnala  Punjab","Other","1.72 Tonnes","1350.00","1200.00 / 1500.00"
"Cabbage","Udaipur(F&V)  Rajasthan","Other","14.9 Tonnes","600.00","400.00 / 800.00"
"Tomato","Mihipurwa  Uttar Pradesh","Deshi","25 Tonnes","1250.00","1200.00 / 1300.00"
"Chikoos","Meham  Haryana","Other","0.1 Tonnes","2500.00","2500.00 / 2500.00"
"Drumstick","Chengannur  Kerala","Other","1 Tonnes","12000.00","12000.00 / 12300.00"
"Cauliflower","Haridwar Union  Uttarakhand","Other","7.5 Tonnes","350.00","300.00 / 400.00"
"Papaya","Nautnava  Uttar Pradesh","Papaya","0.2 Tonnes","850.00","800.00 / 900.00"
"Coconut","Kangeyam  Tamil Nadu","Coconut","65.04 Tonnes","4140.00","4100.00 / 4200.00"
"Tomato","Choubepur  Uttar Pradesh","Deshi","1.3 Tonnes","800.00","750.00 / 850.00"
"Onion","Nabha  Punjab","Other","11 Tonnes","3600.00","2600.00 / 4200.00"
"Lemon","Nahan  Himachal Pradesh","Other","0.08 Tonnes","4250.00","4000.00 / 4500.00"
"Carrot","Bhagta Bhai Ka  Punjab","Other","0.1 Tonnes","780.00","780.00 / 780.00"
"Gur","Lakhimpur  Uttar Pradesh","Pathari","3600 Tonnes","2800.00","2750.00 / 2830.00"
"Carrot","Shahpur  Uttar Pradesh","Carrot","2.3 Tonnes","420.00","410.00 / 430.00"
"Onion","Ashahipora (Anantnagh)  Jammu and Kashmir","Other","1.8 Tonnes","3800.00","3500.00 / 4000.00"
"Carrot","Padra  Gujarat","Other","0.9 Tonnes","1050.00","900.00 / 1200.00"
"Cabbage","Chhachrauli  Haryana","Cabbage","0.1 Tonnes","400.00","400.00 / 400.00"
"Cotton","Rajpipla  Gujarat","Cotton (Unginned)","35 Tonnes","5275.00","4300.00 / 5880.00"
"Bitter Gourd","Barnala  Punjab","Other","0.03 Tonnes","6200.00","6200.00  / 6200.00"
"Mustard","Jhansi  Uttar Pradesh","Sarson(Black)","22 Tonnes","5025.00","4920.00 / 5150.00"
"Kinnow","Kathua  Jammu and Kashmir","Kinnow","3.6 Tonnes","2200.00","1800.00 / 2600.00"
"Tomato","Chengannur  Kerala","Tomato","1.5 Tonnes","3000.00","2900.00 / 3200.00"
"Bottle Gourd","Kangra  Himachal Pradesh","Other","0.4 Tonnes","2100.00","2000.00 / 2200.00"
"Cotton","Himatnagar  Gujarat","Cotton (Unginned)","25.6 Tonnes","5800.00","5305.00 / 6355.00"
"Guar","Gondal(Veg.market Gondal)  Gujarat","Gwar","0.64 Tonnes","6000.00","4000.00 / 8000.00"
"Cauliflower","Ashahipora (Anantnagh)  Jammu and Kashmir","Other","0.7 Tonnes","2400.00","2200.00 / 2600.00"
"Onion","Barnala  Punjab","Other","23.61 Tonnes","3250.00","2600.00 / 3900.00"
"Pomegranate","Kangra  Himachal Pradesh","Other","0.6 Tonnes","12500.00","11000.00 / 13000.00"
"Maize","Devgadhbaria  Gujarat","Deshi White","0.9 Tonnes","1490.00","1480.00 / 1500.00"
"Paddy","Budalur  Tamil Nadu","B P T","1 Tonnes","1900.00","1800.00 / 2000.00"
"Garlic","Lakhimpur  Uttar Pradesh","Desi","3.5 Tonnes","7720.00","7680.00 / 7750.00"
"Potato","Hindol  Odisha","Potato","4.5 Tonnes","1100.00","1000.00 / 1200.00"
"Capsicum","Kangra(Nagrota Bagwan)  Himachal Pradesh","Capsicum","0.1 Tonnes","3900.00","3800.00 / 4000.00"
"Cauliflower","Udaipur(F&V)  Rajasthan","Other","6.5 Tonnes","1500.00","1000.00 / 2000.00"
"Maize","Nandikotkur  Andhra Pradesh","Hybrid","NR","1850.00","1850.00 / 1850.00"
"Banana","Harippad  Kerala","Nendra Bale","0.76 Tonnes","2500.00","2500.00 / 3000.00"
"Pumpkins","Lakhimpur  Uttar Pradesh","Pumpkin","13 Tonnes","1180.00","1150.00 /  1220.00"
"Potato","Kangra  Himachal Pradesh","Other","1.9 Tonnes","900.00","800.00 / 1000.00"
"Brinjal","Teliamura  Tripura","Round/Long","1.5 Tonnes","2000.00","1500.00 / 2500.00"
"Pumpkins","Pulpally  Kerala","Other","0.1 Tonnes","1100.00","1000.00 / 1200.00"
"Papaya","Barnala  Punjab","Other","1.72 Tonnes","1350.00","1200.00 / 1500.00"
"Papaya","Haridwar Union  Uttarakhand","Other","3.2 Tonnes","1300.00","1200.00 / 1400.00"
"Cauliflower","Hasanpur  Uttar Pradesh","African Sarson","0.12 Tonnes","430.00","400.00 / 460.00"
"Cabbage","Gurgaon  Haryana","Other","8.5 Tonnes","400.00","300.00 / 500.00"
"Onion","Chhachrauli  Haryana","Onion","0.2 Tonnes","3000.00","3000.00 / 3600.00"
"Potato","Pune(Khadiki)  Maharashtra","Other","1 Tonnes","1300.00","1100.00 / 1500.00"
"Apple","Kathua  Jammu and Kashmir","Delicious","0.6 Tonnes","10000.00","9000.00 / 11000.00"
"Pumpkins","Tikonia  Uttar Pradesh","Pumpkin","0.5 Tonnes","1160.00","1140.00 / 1170.00"
"Wheat","Choubepur  Uttar Pradesh","Dara","65 Tonnes","1750.00","1700.00 / 1800.00"
"Brinjal","Nautnava  Uttar Pradesh","Brinjal","0.02 Tonnes","1050.00","1000.00 / 1100.00"
"Bajra","Choubepur  Uttar Pradesh","Deshi","2.2 Tonnes","1370.00","1320.00 / 1420.00"
"Cucumber","Teliamura  Tripura","Cucumbar","0.5 Tonnes","3200.00","3000.00 / 3500.00"
"Rice","Lakhimpur  Uttar Pradesh","Coarse","140 Tonnes","2110.00","2100.00 / 2140.00"
"Cauliflower","Bhogpur  Punjab","Other","0.5 Tonnes","300.00","300.00 / 300.00"
"Paddy","Maduranthagam  Tamil Nadu","Ponni","4.25 Tonnes","1750.00","1700.00  / 1780.00"
"Banana","Hasanpur  Uttar Pradesh","Other","0.8 Tonnes","2240.00","2200.00 / 2280.00"
"Moong","Khategaon  Madhya Pradesh","Other","0.7 Tonnes","6000.00","5501.00 / 8200.00"
"Cauliflower","Hoshiarpur(Sham Churasi)  Punjab","Cauliflower","0.04 Tonnes","2000.00","1000.00 / 3000.00"
"Cabbage","Banga  Punjab","Cabbage","1 Tonnes","467.00","400.00 / 500.00"
"Papaya","Mawana  Uttar Pradesh","Papaya","1.6 Tonnes","1400.00","1350.00 / 1550.00"
"Muskmelon","Nabha  Punjab","Karbhuja","0.2 Tonnes","2900.00","2300.00 / 3200.00"
"Bhindi","Jhansi  Uttar Pradesh","Bhindi","0.9 Tonnes","1840.00","1800.00 / 1900.00"
"Cabbage","Ashahipora (Anantnagh)  Jammu and Kashmir","Other","0.6 Tonnes","800.00","700.00 / 900.00"
"Potato","Bhanjanagar  Odisha","Other","0.1 Tonnes","1100.00","1000.00 /  1200.00"
"Carrot","Tikonia  Uttar Pradesh","Carrot","0.2 Tonnes","910.00","900.00 / 920.00"
"Cucumber","Nahan  Himachal Pradesh","Other","0.1 Tonnes","2250.00","2000.00 / 2500.00"
"Cabbage","Mawana  Uttar Pradesh","Cabbage","0.5 Tonnes","420.00","350.00 / 550.00"
"Pumpkins","Shahpur  Uttar Pradesh","Pumpkin","0.7 Tonnes","415.00","405.00 / 425.00"
